CountryName,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Congo, Dem. Rep.",COD,,,,,12,12,8.4,8.4,8.4,8.4,8.4,,8.9,8.9,10.6,8.9,8.9,8.9,8.9
"Congo, Rep.",COG,12,12,,8.5,8.5,8.5,8.5,7.3,7.3,7.3,7.3,7.3,7.4,7.4,7.4,7.4,7.4,11.3,11.3
Colombia,COL,11.8,11.8,12,12,12,12.1,8.4,8.4,8.4,8.4,12.7,12.1,12.1,12.1,19.9,19.9,19.9,18.7,18.1
Comoros,COM,,,,,3,3,3,3,3,0,3,3,3,3,3,3,3,6.1,6.1
Cabo Verde,CPV,11.1,11.1,11.1,11.1,11.1,11.1,15.3,18.1,18.1,18.1,18.1,20.8,20.8,20.8,20.8,20.8,23.6,23.6,23.6
Costa Rica,CRI,19.3,19.3,35.1,35.1,35.1,35.1,38.6,36.8,36.8,36.8,38.6,38.6,38.6,38.6,33.3,33.3,33.3,35.1,45.6
Caribbean small states,CSS,13.23064516,14.58128205,,15.9295612,17.83009259,17.83101852,17.24643678,18.09117647,17.48609865,17.3731377,15.24394619,15.84977679,16.18269663,17.0811236,17.15869074,19.73363229,20.41165919,21.26510067,21.93624161
Cuba,CUB,27.6,27.6,27.6,36,36,36,36,36,43.2,43.2,43.2,45.2,45.2,48.9,48.9,48.9,48.9,48.9,53.2
Curacao,CUW,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,7.1,10.7,10.7,10.7,16.1,16.1,14.3,14.3,14.3,12.5,12.5,10.7,10.7,10.7,12.5,12.5,17.9,17.9,17.9
Czech Republic,CZE,15,15,17,17,17,17,15.5,15.5,15.5,15.5,22,22,22,19.5,19.5,20,20,20,22
Germany,DEU,30.9,31.1,32.2,32.2,32.8,31.8,31.6,31.6,32.2,32.8,32.8,32.9,32.9,36.5,36.5,36.5,36.5,37,30.7
Djibouti,DJI,0,0,0,10.8,10.8,10.8,10.8,13.8,13.8,13.8,13.8,13.8,13.8,12.7,12.7,12.7,12.7,10.8,26.2
Dominica,DMA,,18.8,18.8,18.8,19.4,12.9,12.9,16.1,18.8,14.3,12.5,12.5,12.5,12.5,12.9,21.9,21.9,25,25
Denmark,DNK,37.4,,38,38,38,36.9,36.9,38,38,38,38,39.1,39.1,39.1,39.1,37.4,37.4,37.4,37.4
Dominican Republic,DOM,16.1,16.1,17.3,17.3,17.3,17.3,19.7,19.7,19.7,19.7,20.8,20.8,20.8,20.8,20.8,20.8,26.8,26.8,26.8
Algeria,DZA,3.4,3.4,6.2,6.2,6.2,6.2,6.2,7.7,7.7,7.7,7.7,8,31.6,31.6,31.6,31.6,31.6,25.8,25.8
East Asia & Pacific (excluding high income),EAP,17.33372703,17.57561132,18.05923362,16.84143007,17.12956642,17.26538344,17.62555823,17.96756967,18.23610293,18.49531298,17.87655081,17.8682336,18.18328791,19.27174349,19.02103228,19.70945085,19.81338196,20.06646378,20.58380448
Early-demographic dividend,EAR,9.674273388,9.506773229,11.07769882,11.25451539,12.15535012,12.88984893,13.43976575,14.72091453,15.54532447,16.99531544,17.42335887,17.56534857,19.30140982,20.3848683,21.07095515,22.16444918,22.30129571,22.38378126,22.69391592
East Asia & Pacific,EAS,16.36880709,16.56538515,17.12100886,16.0565726,16.61368916,16.92849727,17.30489425,17.7418436,17.95278508,18.33054793,17.75981203,17.68566308,17.85113678,18.8202159,18.59131702,19.27838885,19.3918731,19.65882724,20.22354564
Europe & Central Asia (excluding high income),ECA,7.307406132,9.113251986,10.9963336,9.390408627,10.9219994,10.83326465,11.49560793,13.88677948,14.217639,15.00332191,15.07804496,15.79393464,17.36796117,17.60401329,18.02959052,18.02155195,18.63434479,20.312543,20.77577737
Europe & Central Asia,ECS,16.55940948,16.5363997,18.33236628,17.76537367,18.81787135,19.16809235,19.53950549,21.00834928,21.35026294,21.89428519,21.99480319,22.70588022,23.75255244,24.67533495,25.34843177,25.7526789,26.11765089,27.62041327,27.85906759
Ecuador,ECU,14.6,14.6,,16,16,16,25,25,25,32.3,32.3,32.3,32.3,38.7,41.6,41.6,41.6,38,38
"Egypt, Arab Rep.",EGY,2,2.4,2.4,2.4,2.9,2,2,1.8,1.8,1.8,12.7,2,2,,,,14.9,14.9,14.9
Euro area,EMU,19.32043011,19.12323024,19.07445982,20.69839048,21.71060755,22.16804004,23.04037123,24.65020872,24.96688297,25.46699815,25.32708141,26.05366644,27.43124277,29.76724337,30.11762806,30.21584775,30.34176104,31.97550312,31.73424222
Eritrea,ERI,14.7,14.7,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Spain,ESP,28.3,28.3,28.3,28.3,36,36,36,36.6,36.3,36.6,36.6,36,36,36,39.7,41.1,39.1,39.1,39.1
Estonia,EST,17.8,17.8,17.8,18.8,18.8,18.8,18.8,20.8,20.8,22.8,22.8,19.8,20.8,20.8,19,23.8,23.8,26.7,26.7
Ethiopia,ETH,7.7,7.7,7.7,7.7,7.7,21.4,21.9,21.9,21.9,21.9,27.8,27.8,27.8,27.8,27.8,38.8,38.8,38.8,38.8
European Union,EUU,19.45039119,19.39092942,20.05507901,21.05504574,21.70403524,21.96352584,22.60457742,23.48311509,23.7433214,24.02580113,24.16893471,24.863071,25.72438759,27.09065471,27.7298368,28.38132068,28.41854906,30.3879661,30.52236658
Fragile and conflict affected situations,FCS,,,,,,11.73836332,13.06120907,13.09376959,13.03690937,12.84824111,13.11401495,14.63185706,15.26884844,16.15690081,15.16519011,17.53203901,17.23332206,17.69872654,17.98004364
Finland,FIN,36.5,36.5,36.5,37.5,37.5,37.5,38,41.5,41.5,40,40,42.5,42.5,42.5,42.5,41.5,41.5,42,42
Fiji,FJI,,5.7,5.7,5.7,8.5,8.5,,,,,,,,,14,16,16,16,16
France,FRA,10.9,10.9,12.1,12.2,12.2,12.2,12.2,18.2,18.2,18.9,18.9,18.9,26.9,26.9,26.2,26.2,26.2,39,39.6
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,GAB,9.2,9.2,9.2,9.2,9.2,9.2,12.5,16.7,16.7,14.7,14.7,14.2,15.8,15.8,15,14.2,14.2,17.1,17.1
United Kingdom,GBR,18.4,17.9,17.9,17.9,18.1,19.7,19.7,19.5,19.5,19.5,22,22.3,22.5,22.5,22.6,29.4,29.6,32,32.2
Georgia,GEO,7.2,7.2,7.2,7.2,9.4,9.4,9.4,9.4,6,5.1,6.5,6.6,12,12,12,11.3,,16,16
Ghana,GHA,,9,9,9,10.9,10.9,10.9,10.9,7.9,8.3,8.3,8.3,,10.9,10.9,10.9,10.9,12.7,12.7
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,
Guinea,GIN,8.8,8.8,,19.3,19.3,19.3,19.3,19.3,,,,,,,21.9,21.9,21.9,21.9,21.9
"Gambia, The",GMB,2,2,5.7,13.2,13.2,13.2,13.2,9.4,9.4,7.5,7.5,7.5,7.5,7.5,9.4,9.4,9.4,10.3,10.3
Guinea-Bissau,GNB,7.8,7.8,7.8,,14,14,14,14,10,10,10,10,14,14,13.7,13.7,13.7,13.7,13.7
Equatorial Guinea,GNQ,5,5,5,5,18,18,18,18,6,10,10,10,10,12.1,24,24,24,24,20
Greece,GRC,8.7,8.7,8.7,8.7,14,13,13,14.7,14.7,17.3,17.3,18.7,21,21,21,19.7,19.7,18.3,18.7
Grenada,GRD,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,13.3,13.3,13.3,13.3,13.3,33.3,33.3,33.3,33.3,33.3,46.7
Greenland,GRL,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,8.8,8.8,8.8,8.2,8.2,8.2,8.2,12,12,12,12,13.3,13.3,13.3,13.3,13.9,13.9,12.7,12.7
Guam,GUM,,,,,,,,,,,,,,,,,,,
Guyana,GUY,18.5,18.3,20,20,30.8,30.8,29,29,30,30,30,31.3,31.3,31.3,31.3,30.4,30.4,31.9,31.9
High income,HIC,,18.14673525,18.82124569,19.30629399,19.85817464,20.40988326,20.9262711,21.80964092,21.97488203,22.51202202,22.60576734,23.19955726,23.75357915,25.07417771,25.80770155,26.43520663,26.39428742,27.52193131,27.87426854
"Hong Kong SAR, China",HKG,,,,,,,,,,,,,,,,,,,
Honduras,HND,9.4,9.4,5.5,5.5,5.5,23.4,23.4,23.4,23.4,18,18,19.5,19.5,19.5,25.8,25.8,25.8,25.8,21.1
Heavily indebted poor countries (HIPC),HPC,,11.91510532,13.51708122,13.52592235,14.06129526,16.89618179,17.10809292,17.63779034,17.5948359,17.71976321,18.32326241,20.36213155,21.49932865,21.79694135,22.08481091,23.85294985,23.57757593,24.32353599,24.21008087
Croatia,HRV,20.5,20.5,20.5,,21.7,21.7,21.7,20.9,20.9,23.5,23.5,23.8,23.8,23.8,23.8,15.2,12.6,18.5,18.5
Haiti,HTI,,3.6,3.6,3.6,3.6,3.6,2,4.1,4.1,4.1,11.1,4.2,4.2,4.2,4.2,4.2,0,2.5,2.5
Hungary,HUN,8.3,8.3,9.1,9.8,9.1,9.1,10.4,11.1,11.1,11.1,9.1,8.8,8.8,8.8,10.1,10.1,10.1,10.1,12.6
IBRD only,IBD,12.7511226,13.11726787,14.47602351,13.97212649,14.90351339,14.46646936,15.16922652,15.92664814,16.37533139,17.32250586,17.69306606,18.01527972,19.29338021,20.15233354,21.07502988,21.30290657,21.80075577,22.36734632,22.83536417
IDA & IBRD total,IBT,11.43526775,11.98499913,13.21418659,13.03660707,13.83005833,14.50947007,15.00894339,15.91353364,16.50071721,17.24673703,17.4152624,18.18697827,19.28630742,20.06547043,20.41763637,21.11478797,21.38170791,21.91674229,22.14414418
IDA total,IDA,,,10.97410858,11.46474764,12.09494394,14.57733554,14.75573643,15.89192553,16.69778287,17.12921558,16.98517016,18.43515178,19.27600069,19.94768374,19.51800654,20.8655431,20.82196532,21.31762143,21.19337359
IDA blend,IDB,,,10.04645297,10.78436104,11.5760095,12.43319088,12.65408867,13.33859211,13.6541727,14.01704545,13.67067171,14.02255924,14.65427492,18.82403509,18.71691713,18.57296722,18.74291188,19.18350297,19.17810903
Indonesia,IDN,8,8,8,8,11.3,11.3,11.3,11.6,11.6,17.9,18,18.2,18.6,18.6,16.9,17.1,17.1,19.8,19.8
IDA only,IDX,9.633032874,,11.26134071,11.68943485,12.24006908,15.13003672,15.27037394,16.52795672,17.44970802,17.89155648,17.78787948,19.44115613,20.31687234,20.2153589,19.71886102,21.43134062,21.31357963,21.81904145,21.67918891
Isle of Man,IMN,3.895561358,4.254109285,5.085830559,5.817950581,5.837411208,6.355407801,8.380983607,8.493742551,8.479236277,8.411442193,9.011065931,8.938420108,,,,,,,
India,IND,9,8.8,8.8,8.8,8.3,8.3,8.3,9.1,9.1,10.8,10.8,11,11,11,11.4,12,12,11.8,11.8
Not classified,INX,,,,,,,,,,,,,,,,,,,
Ireland,IRL,12,12,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.9,13.9,15.1,15.1,15.7,15.7,16.3,22.2,22.2,22.2
"Iran, Islamic Rep.",IRN,3.4,3.4,4.1,4.1,4.1,4.1,4.1,4.1,2.8,2.8,2.8,2.8,3.1,3.1,3.1,3.1,5.9,5.9,5.9
Iraq,IRQ,7.6,7.6,7.6,,,,25.5,25.5,25.5,25.5,25.2,25.2,25.2,25.2,25.3,26.5,26.5,25.3,25.5
Iceland,ISL,34.9,34.9,34.9,30.2,30.2,33.3,33.3,33.3,33.3,42.9,42.9,39.7,39.7,39.7,39.7,41.3,47.6,47.6,38.1
Israel,ISR,12.5,13.3,14.2,15,15,15,14.2,14.2,14.2,18.3,19.2,20,20,22.5,22.5,26.7,26.7,27.5,27.5
Italy,ITA,11.1,9.8,9.8,11.5,11.5,11.5,17.3,17.3,21.3,21.3,21.3,21.6,21.4,31.4,31.4,31,31,31,35.7
Jamaica,JAM,13.3,13.3,,11.7,11.7,11.7,11.7,13.3,13.3,13.3,13.3,12.7,12.7,12.7,12.7,12.7,17.5,17.5,17.5
Jordan,JOR,0,1.3,1.3,5.5,5.5,5.5,5.5,6.4,6.4,6.4,10.8,10.8,10.8,12.2,12,12,15.4,15.4,15.4
Japan,JPN,7.3,7.3,7.3,7.1,7.1,9,9.4,9.4,9.4,11.3,11.3,10.8,7.9,8.1,8.1,9.5,9.5,9.3,10.1
Kazakhstan,KAZ,10.4,10.4,10.4,10.4,10.4,10.4,10.4,15.9,15.9,17.8,17.8,17.8,24.3,24.3,25.2,26.2,27.1,27.1,27.1
Kenya,KEN,3.6,3.6,3.6,7.1,7.1,7.1,7.3,7.2,9.8,9.8,9.8,9.8,9.8,18.6,19.1,19.7,19.7,21.8,21.8
Kyrgyz Republic,KGZ,2.3,10,10,10,10,0,0,25.6,25.6,25.6,23.3,23.3,23.3,23.3,23.3,19.2,19.2,19.2,19.2
Cambodia,KHM,7.4,7.4,7.4,9.8,9.8,9.8,9.8,19.5,16.3,21.1,21.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20
Kiribati,KIR,4.9,4.8,4.8,,4.8,4.8,7.1,4.3,4.3,4.3,4.3,8.7,8.7,8.7,8.7,8.7,6.5,6.5,6.5
St. Kitts and Nevis,KNA,13.3,13.3,13.3,13.3,0,0,0,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,13.3,13.3,13.3,13.3
"Korea, Rep.",KOR,5.9,5.9,5.9,5.9,13,13.4,13.4,14.4,13.7,14.7,14.7,14.7,15.7,15.7,16.3,16.3,17,17,17
Kuwait,KWT,0,0,0,0,0,1.5,1.5,1.5,3.1,7.7,7.7,7.7,6.2,6.2,1.5,1.5,1.5,3.1,3.1
Latin America & Caribbean (excluding high income),LAC,15.64316547,14.74311138,16.52258715,19.08396201,19.61347094,20.90341927,21.04364952,21.85550791,23.0602139,23.7748538,24.09319414,24.17588047,25.77780149,26.1582153,28.71090573,29.20580572,30.00576923,30.54429618,31.93505236
Lao PDR,LAO,21.2,21.2,22.9,22.9,22.9,22.9,25.2,25.2,25.2,25.2,25.2,25,25,25,25,25,27.5,27.5,27.5
Lebanon,LBN,2.3,2.3,2.3,2.3,2.3,4.7,4.7,4.7,4.7,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,4.7
Liberia,LBR,7.8,7.8,7.8,7.8,5.3,12.5,12.5,12.5,12.5,12.5,12.5,9.6,11,11,11,11,11,12.3,12.3
Libya,LBY,,,,,,4.7,7.7,7.7,7.7,7.7,7.7,,16.5,16.5,16,16,16,16,16
St. Lucia,LCA,11.1,,11.1,11.1,11.1,11.1,0,11.1,11.1,11.1,11.1,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7
Latin America & Caribbean,LCN,15.15959877,14.33251966,16.07901011,18.45025516,19.01291576,20.2153081,20.34859679,21.11677048,22.17181449,22.71162458,23.02288485,23.03894863,24.49148733,24.81021695,27.53975273,27.90835015,28.70770868,29.2849859,30.68186057
Least developed countries: UN classification,LDC,9.916294687,,11.73775054,12.39262183,12.75717122,15.69264214,15.91664382,17.00798577,18.77039599,19.40600581,19.26387257,20.82885065,21.39844979,21.60419689,21.10183452,23.04432199,22.79111035,23.1773389,22.93996964
Low income,LIC,11.79761851,12.70925965,13.83120018,13.23288344,14.58512488,16.84849549,16.89653333,17.52371932,19.04779814,18.58407274,18.5911477,20.86834064,21.08123652,21.34124763,20.61441939,22.04157204,21.9728187,22.47289418,22.34463815
Liechtenstein,LIE,4,12,12,12,12,24,24,24,24,24,24,24,24,20,20,20,20,12,12
Sri Lanka,LKA,,,4.4,4.4,4.9,4.9,4.9,5.8,5.8,5.8,5.3,5.8,5.8,5.8,5.8,4.9,5.8,5.8,5.8
Lower middle income,LMC,8.638778759,9.166180595,10.68531779,10.72494516,11.29795424,12.47186262,12.91019025,13.78738828,14.31915635,15.71168433,16.28329409,15.9336614,16.77873615,18.5440187,19.33588168,20.07001253,20.04891064,20.45768747,20.21455935
Low & middle income,LMY,12.0595157,12.42055644,13.61593895,13.48159073,14.36216428,14.99813908,15.49030866,16.37898637,17.12466147,17.74706031,17.90257688,18.60745007,19.68974709,20.57059762,20.88334172,21.56399426,21.84986535,22.31644766,22.59911908
Lesotho,LSO,3.8,3.8,,11.7,11.7,11.7,11.7,23.5,25,24.2,24.2,24.2,26.7,26.7,26.7,25,25,22.9,22.1
Late-demographic dividend,LTE,14.76118328,15.11270213,15.69102577,15.06673359,15.77463008,16.02671674,16.050107,16.74306528,17.0792887,17.21466983,17.24862637,17.65925265,18.28347454,18.9057297,19.13040206,19.36189065,19.91135198,20.62605018,21.10123786
Lithuania,LTU,10.6,10.6,10.6,10.6,22,22,24.8,22.7,17.7,19.1,19.1,19.1,24.5,24.1,24.1,23.4,21.3,21.3,21.3
Luxembourg,LUX,16.7,16.7,16.7,16.7,23.3,23.3,23.3,23.3,23.3,20,20,25,21.7,23.3,28.3,28.3,28.3,28.3,28.3
Latvia,LVA,17,17,18,21,21,21,19,20,20,22,20,23,23,23,18,18,18,16,16
"Macao SAR, China",MAC,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,
Morocco,MAR,0.6,0.6,10.8,10.8,10.8,10.8,10.8,10.5,10.5,10.5,10.5,17,17,17,17,17,20.5,20.5,20.5
Monaco,MCO,22.2,22.2,22.2,20.8,20.8,20.8,20.8,20.8,25,26.1,26.1,19,19,20.8,20.8,20.8,20.8,20.8,33.3
Moldova,MDA,7.9,12.9,12.9,12.9,15.8,21.8,21.8,21.8,21.8,23.8,18.8,19.8,19.8,19.8,17.8,21.8,21.8,22.8,22.8
Madagascar,MDG,8,8,,3.8,6.9,6.9,6.9,7.9,7.9,,12.5,12.5,17.5,17.5,20.5,20.5,20.5,19.2,19.2
Maldives,MDV,6,6,6,6,6,12,12,12,12,6.5,6.5,6.5,6.5,6.5,5.9,5.9,5.9,5.9,5.9
Middle East & North Africa,MEA,4.199365609,4.32920147,5.897101932,5.871467391,6.600362558,6.169874477,8.062388451,8.355546855,8.308065779,8.792458678,10.42784461,10.05864662,13.14629917,15.93542654,16.08830514,16.38824577,17.01531003,16.22710138,16.63012967
Mexico,MEX,16,16,16,22.6,22.6,24.2,22.6,23.2,23.2,27.6,26.2,26.2,36.8,36.8,37.4,42.4,42.4,42.6,48.2
Marshall Islands,MHL,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9.1,9.1,9.1,9.1
Middle income,MIC,12.12621152,12.34541902,13.56404414,13.53270957,14.30209839,14.46544588,15.08641455,16.04459414,16.55361268,17.49611787,17.70854465,17.90994913,19.24155513,20.3227571,20.96569737,21.41039651,21.81023557,22.26573687,22.67764568
North Macedonia,MKD,6.7,6.7,17.5,18.3,19.2,19.2,28.3,29.2,31.7,32.5,32.5,30.9,32.5,34.1,33.3,33.3,33.3,34.2,38.3
Mali,MLI,12.2,12.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,9.5,8.8,8.8,8.8,8.8
Malta,MLT,9.2,9.2,9.2,7.7,9.2,9.2,9.2,9.2,8.7,8.7,8.7,8.7,8.7,14.3,14.3,12.9,12.9,11.9,11.9
Myanmar,MMR,,,,,,,,,,,4.3,3.5,6,6,5.6,12.7,9.9,10.2,10.2
Middle East & North Africa (excluding high income),MNA,3.873974122,3.981982982,5.678871681,6.008460305,6.968532587,6.40873965,8.638304455,8.852289604,8.773977695,9.099908229,10.98385001,10.51506024,14.16534805,16.41584266,16.75010854,16.90213536,17.55858738,16.58197412,16.96714801
Montenegro,MNE,,,,,,,8.6,11.1,11.1,11.1,11.1,12.3,17.3,16,17.3,17.3,23.5,23.5,23.5
Mongolia,MNG,10.5,10.5,10.5,10.5,6.8,6.7,6.6,6.6,4.2,3.9,3.9,3.9,14.9,14.9,14.9,14.5,17.1,17.1,17.1
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,30,30,30,30,34.8,34.8,34.8,34.8,34.8,39.2,39.2,39.2,39.2,39.2,,39.6,39.6,39.6,39.6
Mauritania,MRT,3.8,,,3.7,3.7,,17.9,22.1,22.1,22.1,22.1,22.1,22.1,22.1,25.2,25.2,25.2,25.2,20.3
Mauritius,MUS,5.7,5.7,5.7,5.7,5.7,17.1,17.1,17.1,17.1,17.1,18.8,18.8,18.8,18.8,18.8,11.6,11.6,11.6,11.6
Malawi,MWI,9.3,9.3,9.3,9.3,14,13.6,13.6,13,13,20.8,20.8,22.3,22.3,22.3,16.7,16.7,16.7,16.7,16.7
Malaysia,MYS,10.4,10.4,10.4,10.5,9.1,9.1,9.1,10,10.8,9.9,9.9,10.4,10.4,10.4,10.4,10.4,10.4,10.4,13.9
North America,NAC,,16.69918478,16.58097826,16.87649457,17.47012113,17.64576043,18.1654105,18.65472973,19.1141319,18.99703903,18.99703903,20.11443995,20.78113208,20.73410014,21.69973046,22.28963731,22.29714286,22.40976563,22.85986928
Namibia,NAM,25,25,25,26.4,25,26.9,26.9,26.9,26.9,26.9,24.4,24.4,24.4,24.4,,41.3,41.3,41.3,46.2
New Caledonia,NCL,,,,,,,,,,,,,,,,,,,
Niger,NER,1.2,1.2,1.2,1.2,12.4,12.4,12.4,12.4,12.4,9.7,,13.3,13.3,13.3,13.3,13.3,14.6,17,17
